Sample No.,Depth_1,Lab Number,Texture,Gravel,Colour_1,NO3N,NH4N,Col P,Col K,KCl S,O C,Cond,p H Ca Cl2,p H H2O,Ex Ca,Ex Mg,Ex Na,Ex K,Ca Cl2 Al,Boron Hot Ca Cl2,Ex Al,Cl,PBI,MIR %Silt,MIR %Clay,MIR %Sand,Moisture%,Lon,Lat
GE K1,0 - 10,WCS13087,1.5,0,DKGR,,,39,51,,,0.111,5,6,,,,,0.69,,,,14,,,,,119.2020697,-33.8434629
GE K2,0 - 10,WCS13088,1.5,5,DKGR,,,19,78,,,0.177,5.2,6,,,,,1.54,,,,14.8,,,,,119.1924844,-33.8502535
GE K3,0 - 10,WCS13089,1.5,0,DKGR,,,19,53,,,0.083,4.9,5.9,,,,,1.31,,,,11.4,,,,,119.1979533,-33.8390742
GE K4,0 - 10,WCS13090,1.5,0,DKGR,,,16,28,,,0.103,5.5,6,,,,,0.99,,,,9.9,,,,,119.1732249,-33.8440231
GE K5,0 - 10,WCS13091,1.5,15-20,BRGR,,,32,68,,,0.063,4.9,5.9,,,,,1.27,,,,23.4,,,,,119.1690113,-33.8287513
GE K6,0 - 10,WCS13092,2,5,GR,,,66,120,,,0.379,4.9,5.5,,,,,1.33,,,,43.5,,,,,119.1544431,-33.8033148
GE K7,0 - 10,WCS13093,1.5,5,DKBR,,,57,234,,,0.19,4.8,5.5,,,,,1,,,,48.1,,,,,119.1467184,-33.8119239
GE K8,0 - 10,WCS13094,2.5,0,DKBR,,,47,503,,,0.25,5.5,6,,,,,0.26,,,,56.5,,,,,119.1532158,-33.8134805
GE K9,0 - 10,WCS13095,2,0,GRBR,,,38,161,,,0.104,4.7,5.5,,,,,1.73,,,,48.3,,,,,119.1486803,-33.820134
GE K10,0 - 10,WCS13096,1.5,5,GR,,,44,66,,,0.247,4.7,5.3,,,,,1.99,,,,23.1,,,,,119.1566239,-33.7970956
GE K11,0 - 10,WCS13103,1.5,5,DKGR,,,21,81,,,0.148,4.6,5.5,,,,,2.07,,,,16.2,,,,,119.1667093,-33.8115915
GE TH1,0 - 10,WCS13113,1.5,0,GR,,,16,42,,,0.129,5.1,5.8,,,,,1.86,,,,12.4,,,,,119.1848438,-33.8504111
GE TH2,0 - 10,WCS13114,1.5,0,GR,,,15,63,,,0.079,5.3,6.2,,,,,1.04,,,,11.6,,,,,119.1948615,-33.8341524
GE TH3,0 - 10,WCS13115,1.5,5,GR,,,21,73,,,0.211,5.2,5.9,,,,,1.27,,,,14.7,,,,,119.1587085,-33.8331178
GE TH4,0 - 10,WCS13116,1.5,0,GR,,,21,26,,,0.135,5.7,6.4,,,,,1.11,,,,7.9,,,,,119.1759662,-33.8149159
GE TH5,0 - 10,WCS13117,1.5,0,GR,,,30,35,,,0.202,4.4,5.4,,,,,2.4,,,,15.8,,,,,119.1652879,-33.822344
GE TH6,0 - 10,WCS13118,1.5,0,DKGR,,,43,88,,,0.544,4.9,5.9,,,,,1.22,,,,39.2,,,,,119.1534156,-33.822209
GE TH7,0 - 10,WCS13119,1.5,5-Oct,BRGR,,,30,115,,,0.13,5.4,6.2,,,,,1.23,,,,20.7,,,,,119.1780316,-33.8240033
GE TH8,0 - 10,WCS13120,1.5,0,GRBR,,,20,143,,,0.096,4.9,5.9,,,,,0.79,,,,19.6,,,,,119.1474419,-33.8021818
GE TH9,0 - 10,WCS13121,2,0,GRBR,,,36,195,,,0.179,4.8,5.7,,,,,0.87,,,,23.8,,,,,119.1511389,-33.7989638
GE TH10,0 - 10,WCS13122,2,5,DKBR,,,33,406,,,0.17,5.7,6.7,,,,,0.21,,,,61.7,,,,,119.1444031,-33.8060744
